[100|0] 35 230
[99|1] 38 270
[98|2] 37 220
[97|3] 34 237
[96|4] 37 219
[95|5] 37 223
[94|6] 44 229
[93|7] 41 222
[92|8] 52 221
[91|9] 47 226
[90|10] 49 217
[89|11] 55 217
[88|12] 53 218
[87|13] 51 222
[86|14] 60 224
[85|15] 57 220
[84|16] 56 216
[83|17] 57 219
[82|18] 61 219
[81|19] 61 217
[80|20] 64 251
[79|21] 69 221
[78|22] 72 219
[77|23] 67 218
[76|24] 71 224
[75|25] 73 218
[74|26] 75 217
[73|27] 77 219
[72|28] 90 216
[71|29] 85 220
[70|30] 84 219
[69|31] 91 220
[68|32] 89 217
[67|33] 88 215
[66|34] 91 220
[65|35] 93 217
[64|36] 102 220
[63|37] 103 219
[62|38] 99 218
[61|39] 102 215
[60|40] 106 219
[59|41] 104 230
[58|42] 107 222
[57|43] 108 216
[56|44] 112 219
[55|45] 122 271
[54|46] 121 217
[53|47] 116 254
[52|48] 157 253
[51|49] 124 217
[50|50] 123 222
[49|51] 126 343
[48|52] 140 224
[47|53] 136 229
[46|54] 134 225
[45|55] 162 281
[44|56] 204 239
[43|57] 164 233
[42|58] 161 228
[41|59] 163 259
[40|60] 160 234
[39|61] 171 231
[38|62] 170 231
[37|63] 171 230
[36|64] 177 240
[35|65] 169 229
[34|66] 177 235
[33|67] 185 238
[32|68] 182 246
[31|69] 200 256
[30|70] 188 251
[29|71] 186 269
[28|72] 201 272
[27|73] 204 250
[26|74] 196 247
[25|75] 201 269
[24|76] 234 251
[23|77] 207 240
[22|78] 213 260
[21|79] 210 256
[20|80] 219 248
[19|81] 227 243
[18|82] 234 262
[17|83] 228 268
[16|84] 244 262
[15|85] 237 253
[14|86] 237 263
[13|87] 224 246
[12|88] 239 263
[11|89] 249 252
[10|90] 245 264
[9|91] 263 252
[8|92] 233 269
[7|93] 248 254
[6|94] 266 258
[5|95] 251 251
[4|96] 262 248
[3|97] 253 256
[2|98] 246 262
[1|99] 258 270
[0|100] 266 253
